X_AXIS,Y_AXIS,Z_AXIS,BATTERY_VOLTS
-0.29,4.58,-2.62,27.60
0.16,5.04,-2.61,27.60
-0.73,3.56,-1.88,27.60
-0.24,0.61,0.18,27.60
0.62,-1.56,3.27,27.60
-0.24,-1.75,1.94,27.60
0.06,1.00,-0.32,27.60
-0.03,3.64,-0.85,27.60
0.08,5.17,-3.19,27.60
-1.17,4.22,-3.06,27.60
0.36,0.96,1.06,27.60
0.46,-1.42,2.35,27.60
-0.45,-1.24,1.43,27.60
0.21,0.01,1.43,27.60
0.18,3.11,-0.94,27.60
-0.52,5.15,-3.31,27.60
0.72,4.27,-1.46,27.60
-0.12,1.58,-0.46,27.60
-0.26,-0.70,0.72,27.60
0.52,-2.14,3.56,27.60
-0.37,-0.29,1.32,27.60
0.16,2.95,-1.39,27.60
0.35,4.71,-1.59,27.60
0.40,5.16,-2.74,27.60
-0.13,2.32,-1.13,27.60
-0.06,-0.96,1.64,27.60
0.08,-1.77,2.69,27.60
-0.05,-1.07,1.56,27.60
-0.13,2.44,-0.57,27.60
0.10,4.64,-2.12,27.60
-0.17,4.87,-2.11,27.60
0.64,2.58,-0.22,27.60
-0.34,-0.50,0.68,27.60
-0.06,-1.56,2.34,27.60
-0.01,-1.61,2.50,27.60
-0.17,1.72,-0.53,27.60
0.23,4.31,-1.91,27.60
0.05,5.14,-2.45,27.60
-0.45,3.21,-1.88,27.60
0.50,-0.03,1.66,27.60
-0.32,-1.53,1.89,27.60
-0.12,-1.29,1.99,27.60
0.60,0.68,1.24,27.60
-0.17,4.12,-2.22,27.60
-0.17,5.00,-3.27,27.60
-0.62,3.79,-1.66,27.60
0.25,0.63,0.58,27.60
0.44,-1.24,2.38,27.60
-0.19,-1.62,1.89,27.60
0.52,0.24,1.16,27.60
-0.17,3.57,-1.45,27.60
-0.51,4.98,-3.52,27.60
-0.76,3.99,-2.29,27.60
0.08,1.37,-0.05,27.60
0.46,-1.57,2.35,27.60
-0.33,-1.73,2.33,27.60
-0.28,-0.12,0.62,27.60
0.02,2.66,-0.54,27.60
-0.29,4.98,-2.56,27.60
0.69,4.76,-2.11,27.60
0.50,1.79,0.20,27.60
-0.50,-0.76,0.63,27.60
0.16,-1.77,2.68,27.60
0.07,-0.94,2.38,27.60
-0.11,2.74,-1.18,27.60
0.13,4.75,-2.28,27.60
0.90,4.84,-1.83,27.60
-0.21,2.53,-1.18,27.60
-0.56,-0.91,0.64,27.60
0.26,-1.90,3.26,27.60
-0.11,-1.34,1.97,27.60
-0.22,2.09,-0.80,27.60
0.19,4.36,-1.78,27.60
-0.57,5.20,-2.78,27.60
0.32,2.86,-0.94,27.60
0.24,-0.05,1.48,27.60
-0.21,-1.50,1.74,27.60
0.28,-1.52,2.52,27.60
-0.17,1.10,0.37,27.60
0.02,4.57,-2.55,27.60
-0.36,5.09,-2.49,27.60
-0.51,3.53,-1.70,27.60
0.26,0.22,1.12,27.60
-0.31,-1.37,1.84,27.60
0.06,-1.53,2.00,27.60
0.46,0.54,1.33,27.60
-0.54,4.04,-2.24,27.60
-0.07,5.12,-3.22,27.60
-0.52,4.04,-1.56,27.60
-0.37,1.06,-0.48,27.60
0.49,-1.32,2.47,27.60
-0.02,-1.71,2.63,27.60
-0.21,0.51,0.48,27.60
0.18,2.95,-0.86,27.60
-0.03,5.19,-2.44,27.60
0.21,4.51,-2.52,27.60
-0.29,1.67,-0.54,27.60
0.23,-1.16,1.79,27.60
0.46,-1.95,3.37,27.60
-0.49,-0.28,0.50,27.60
-0.19,2.63,-0.90,27.60
0.06,4.73,-1.70,27.60
0.53,5.18,-2.72,27.60
0.48,2.10,-0.50,27.60
-0.10,-1.01,1.58,27.60
0.08,-1.62,2.37,27.60
-0.02,-1.29,1.99,27.60
-0.17,2.37,-0.67,27.60
0.28,4.79,-2.03,27.60
-0.11,4.73,-1.99,27.60
0.52,2.88,-0.69,27.60
-0.60,-0.44,0.35,27.60
-0.10,-1.68,2.55,27.60
0.17,-1.55,2.50,27.60
-0.28,1.59,-0.58,27.60
-0.06,4.38,-1.93,27.60
-0.14,5.36,-2.35,27.60
0.10,3.19,-1.46,27.60
0.09,0.11,1.25,27.60
-0.43,-1.47,1.99,27.60
0.04,-1.54,2.10,27.60
0.31,0.71,1.09,27.60
-0.33,4.04,-2.26,27.60
0.23,5.20,-2.90,27.60
-0.68,4.00,-1.97,27.60
-0.30,0.57,-0.18,27.60
0.53,-1.34,2.76,27.60
-0.10,-1.77,2.43,27.60
0.07,0.67,0.36,27.60
0.18,3.41,-0.61,27.60
-0.11,5.12,-3.35,27.60
-0.20,4.32,-2.69,27.60
-0.13,1.36,-0.08,27.60
0.56,-1.40,2.47,27.60
-0.16,-1.80,2.23,27.60
0.08,0.11,1.17,27.60
0.30,2.94,-1.07,27.60
-0.18,5.07,-2.86,27.60
0.83,4.66,-1.92,27.60
-0.37,2.16,-1.30,27.60
0.32,-0.74,1.72,27.60
0.43,-2.28,3.65,27.60
-0.38,-0.17,0.74,27.60
-0.20,2.55,-0.92,27.60
0.41,4.55,-1.70,27.60
-0.58,5.29,-2.98,27.60
0.74,2.62,-0.40,27.60
0.38,-0.74,2.10,27.60
-0.42,-1.46,1.46,27.60
0.15,-1.12,1.91,27.60
-0.02,1.60,0.25,27.60
-0.17,4.76,-2.71,27.60
-0.57,5.33,-2.30,27.60
0.65,2.86,-0.47,27.60
-0.63,0.21,0.07,27.60
-0.12,-1.65,2.40,27.60
0.33,-1.56,2.94,27.60
0.01,1.29,-0.53,27.60
0.05,4.37,-2.08,27.60
-0.25,4.98,-2.64,27.60
-0.66,3.59,-2.31,27.60
0.74,0.45,1.31,27.60
-0.04,-1.59,2.59,27.60
-0.35,-1.26,1.22,27.60
0.72,0.22,1.80,27.60
-0.14,3.96,-1.84,27.60
-0.43,5.32,-3.93,27.60
-0.43,3.78,-1.54,27.60
0.49,0.89,0.55,27.60
0.16,-1.07,1.47,27.60
0.02,-1.73,2.70,27.60
-0.08,0.09,0.99,27.60
0.04,3.26,-1.14,27.60
-0.09,5.08,-2.56,27.60
0.55,4.48,-2.38,27.60
-0.47,1.83,-1.35,27.60
0.29,-1.17,2.17,27.60
-0.04,-2.00,2.76,27.60
-0.37,0.07,0.78,27.60
0.31,2.46,-0.31,27.60
0.00,5.01,-2.59,27.60
0.44,5.28,-2.60,27.60
0.55,1.83,0.21,27.60
-0.32,-0.87,1.08,27.60
-0.03,-1.74,2.50,27.60
0.20,-1.04,2.48,27.60
-0.30,2.51,-1.13,27.60
0.36,4.65,-2.04,27.60
-0.41,4.80,-1.96,27.60
0.33,2.71,-0.82,27.60
-0.44,-0.37,0.73,27.60
0.10,-1.57,2.52,27.60
0.15,-1.51,2.34,27.60
-0.29,1.54,-0.36,27.60
0.11,4.51,-2.37,27.60
-0.01,5.11,-2.40,27.60
-0.29,3.23,-1.81,27.60
0.30,0.03,1.43,27.60
-0.28,-1.59,2.09,27.60
-0.00,-1.30,2.03,27.60
-0.19,0.99,0.44,27.60
-0.30,4.42,-1.91,27.60
0.04,4.95,-2.66,27.60
-1.00,3.94,-2.42,27.60
0.07,0.67,0.32,27.60
0.43,-1.72,2.94,27.60
-0.39,-1.37,1.51,27.60
0.07,0.63,0.82,27.60
0.22,3.20,-0.65,27.60
-0.42,5.34,-3.53,27.60
0.24,4.20,-1.96,27.60
-0.21,1.11,-0.34,27.60
0.12,-0.97,1.53,27.60
0.38,-2.13,3.35,27.60
-0.45,0.17,0.64,27.60
0.06,2.91,-1.47,27.60
0.35,4.76,-1.57,27.60
0.70,4.84,-2.61,27.60
0.04,2.04,-0.75,27.60
-0.07,-1.12,1.67,27.60
0.26,-1.87,2.98,27.60
0.09,-0.53,1.32,27.60
0.12,2.45,-0.55,27.60
0.06,4.76,-2.19,27.60
